"Scenario","year","lb","md","ub"
"-0.2g/yr",2029,0.651932495798542,0.759142623614381,0.834649253452796
"-0.2g/yr",2030,0.609116858938393,0.745970911357775,0.826851396895267
"-0.2g/yr",2031,0.553622959206359,0.730004104768155,0.820421967182464
"-0.2g/yr",2032,0.509176601487464,0.710890292911147,0.813405079929573
"-0.2g/yr",2033,0.466849318709819,0.687853959714461,0.805609089093539
"-0.2g/yr",2034,0.438884745488377,0.660317790189361,0.796251579493762
"-0.2g/yr",2035,0.415166601477762,0.627299514849332,0.786811865140117
"-0.2g/yr",2036,0.395692189642071,0.591669181066958,0.772290134559022
"-0.2g/yr",2037,0.375718336251822,0.555347193553381,0.753158955140287
"-0.2g/yr",2038,0.364658979889643,0.520790712473425,0.734223605506119
"-0.2g/yr",2039,0.353713156011758,0.491181958152575,0.712239023060745
"-0.2g/yr",2040,0.346006676382667,0.466981293457255,0.695827673046841
"-0.2g/yr",2041,0.337310409847888,0.444302461539836,0.672953888310662
"-0.2g/yr",2042,0.332231519764548,0.425532934810514,0.646968711939978
"-0.2g/yr",2043,0.329078247336962,0.412001805510923,0.618392635191793
"-0.2g/yr",2044,0.321597633030299,0.399925409562338,0.58904472792251
"-0.2g/yr",2045,0.318934848279881,0.389606140529497,0.558255015559704
"-0.2g/yr",2046,0.31340018063241,0.382300083990856,0.534863283685176
"-0.2g/yr",2047,0.309140511054461,0.377168871671385,0.504456955805137
"-0.2g/yr",2048,0.307038997770232,0.372151521136519,0.485609189984744
"-0.2g/yr",2049,0.304322093863628,0.367807786601465,0.465718749651255
"-0.2g/yr",2050,0.302735732775244,0.365510027996526,0.447700258416319
"-0.2g/yr",2051,0.299121864514242,0.361744560169351,0.438459596586238
"-0.2g/yr",2052,0.298308692649704,0.358762150215393,0.432477144601439
"-0.2g/yr",2053,0.293024112620125,0.356542305495401,0.426084371513215
"-0.2g/yr",2054,0.294133930218193,0.354456846691381,0.419490735203714
"-0.2g/yr",2055,0.290640994280968,0.352996119572864,0.416432136056009
"-0.2g/yr",2056,0.291016772574651,0.3520331986012,0.412282708700211
"-0.2g/yr",2057,0.289618048902779,0.350752197680121,0.411760301398112
"-0.2g/yr",2058,0.288959513823068,0.35019067498651,0.408395206006461
"-0.2g/yr",2059,0.286415747732445,0.349695886984986,0.406366224212641
"-0.2g/yr",2060,0.285852051818888,0.348660086921191,0.404232885101629
