"","Scenario","Hunting_bias","Herring_quality","year","lb","md","ub","group"
"100","3050","Adult","-0.2g/yr",2025,51055.75,57614.5,65776.05,"3050 Adult -0.2g/yr"
"101","3600","Adult","-0.2g/yr",2025,51055.75,57614.5,65776.05,"3600 Adult -0.2g/yr"
"102","4800","Adult","-0.2g/yr",2025,51055.75,57614.5,65776.05,"4800 Adult -0.2g/yr"
"103","0","Male","-0.2g/yr",2025,51055.75,57614.5,65776.05,"0 Male -0.2g/yr"
"104","1311","Male","-0.2g/yr",2025,51055.75,57614.5,65776.05,"1311 Male -0.2g/yr"
"105","2400","Male","-0.2g/yr",2025,51055.75,57614.5,65776.05,"2400 Male -0.2g/yr"
"106","3050","Male","-0.2g/yr",2025,51055.75,57614.5,65776.05,"3050 Male -0.2g/yr"
"107","3600","Male","-0.2g/yr",2025,51055.75,57614.5,65776.05,"3600 Male -0.2g/yr"
"108","4800","Male","-0.2g/yr",2025,51055.75,57614.5,65776.05,"4800 Male -0.2g/yr"
"109","0","Female","-0.2g/yr",2025,51055.75,57614.5,65776.05,"0 Female -0.2g/yr"
"110","1311","Female","-0.2g/yr",2025,51055.75,57614.5,65776.05,"1311 Female -0.2g/yr"
"111","2400","Female","-0.2g/yr",2025,51055.75,57614.5,65776.05,"2400 Female -0.2g/yr"
"112","3050","Female","-0.2g/yr",2025,51055.75,57614.5,65776.05,"3050 Female -0.2g/yr"
"113","3600","Female","-0.2g/yr",2025,51055.75,57614.5,65776.05,"3600 Female -0.2g/yr"
"114","4800","Female","-0.2g/yr",2025,51055.75,57614.5,65776.05,"4800 Female -0.2g/yr"
"115","0","Historical","+4g in 2025",2025,51055.75,57614.5,65776.05,"0 Historical +4g in 2025"
"116","1311","Historical","+4g in 2025",2025,51055.75,57614.5,65776.05,"1311 Historical +4g in 2025"
"117","2400","Historical","+4g in 2025",2025,51055.75,57614.5,65776.05,"2400 Historical +4g in 2025"
"118","3050","Historical","+4g in 2025",2025,51055.75,57614.5,65776.05,"3050 Historical +4g in 2025"
"119","3600","Historical","+4g in 2025",2025,51055.75,57614.5,65776.05,"3600 Historical +4g in 2025"
"120","4800","Historical","+4g in 2025",2025,51055.75,57614.5,65776.05,"4800 Historical +4g in 2025"
"121","0","Pup","+4g in 2025",2025,51055.75,57614.5,65776.05,"0 Pup +4g in 2025"
"122","1311","Pup","+4g in 2025",2025,51055.75,57614.5,65776.05,"1311 Pup +4g in 2025"
"123","2400","Pup","+4g in 2025",2025,51055.75,57614.5,65776.05,"2400 Pup +4g in 2025"
"124","3050","Pup","+4g in 2025",2025,51055.75,57614.5,65776.05,"3050 Pup +4g in 2025"
"125","3600","Pup","+4g in 2025",2025,51055.75,57614.5,65776.05,"3600 Pup +4g in 2025"
